location_id,location_name,location_Area,traffic_light_status,traffic_light_maintenance_date,camera_status,camera_last_maintenance_date
73,Shahrah-e-Mazare Quaid,Mazar-e-Quaid,Green,2025-01-13 10:03:23,Active,2025-01-18
74,Shahrah-e-Qainchi,Akhtar Colony,Yellow,2025-01-30 00:45:40,Inactive,2025-02-06
75,Shahrah-e-Bandar Road,Keamari,Yellow,2025-01-06 19:17:25,Active,2025-01-15
76,Shahrah-e-Kemari,Kemari,Yellow,2025-03-02 23:54:47,Active,2025-02-02
77,Shahrah-e-Manora,Manora,Yellow,2025-01-20 02:52:59,Inactive,2025-02-20
78,Shahrah-e-Port Trust,Kemari,Red,2025-01-15 22:43:50,Inactive,2025-02-04
79,Shahrah-e-Sher Shah,New Karachi,Yellow,2025-01-25 14:29:13,Inactive,2025-02-17
80,Shahrah-e-Bin Qasim,Korangi,Yellow,2025-02-18 13:09:56,Inactive,2025-01-20
81,Shahrah-e-Landhi,Landhi,Yellow,2025-02-01 21:23:52,Active,2025-01-05
82,Shahrah-e-Malir,Malir,Green,2025-01-11 04:42:20,Active,2025-01-17
83,Shahrah-e-Quaid-e-Azam,Malir,Green,2025-02-09 04:13:14,Active,2025-01-21
84,Shahrah-e-Gulshan-e-Hadeed,Steel Town,Yellow,2025-01-04 13:40:49,Active,2025-02-16
85,Shahrah-e-Saeedabad,Saeedabad,Yellow,2025-02-28 20:53:57,Inactive,2025-02-24
86,Shahrah-e-Ittehad,Korangi,Red,2025-01-11 12:39:45,Inactive,2025-02-24
87,Shahrah-e-Nipa,NIPA,Green,2025-02-03 11:02:57,Active,2025-02-20
88,Shahrah-e-Hasan Square,Gulshan-e-Iqbal,Yellow,2025-02-25 19:24:36,Active,2025-02-12
89,Shahrah-e-Gulshan Chowrangi,Gulshan-e-Iqbal,Green,2025-02-21 04:04:37,Inactive,2025-02-26
90,Shahrah-e-North Karachi,North Karachi,Red,2025-01-13 19:52:46,Active,2025-02-03
91,Shahrah-e-Super Highway,Sohrab Goth,Green,2025-01-10 21:39:54,Inactive,2025-01-20
92,Shahrah-e-National Highway,City Entrance,Yellow,2025-01-26 12:07:25,Inactive,2025-01-26
93,Shahrah-e-Rashid Minhas,Gulshan,Green,2025-01-26 18:12:43,Active,2025-02-18
94,Shahrah-e-Kala Board,Korangi,Yellow,2025-01-10 17:47:32,Active,2025-02-27
95,Shahrah-e-Shah Faisal,Shah Faisal Colony,Green,2025-03-02 18:10:26,Active,2025-01-05
96,Shahrah-e-Kaneez Fatima,Scheme 33,Yellow,2025-01-28 02:52:29,Active,2025-01-16
97,Shahrah-e-Moinabad,Moinabad,Green,2025-02-25 17:14:14,Active,2025-01-11
98,Shahrah-e-Model Colony,Model Colony,Yellow,2025-01-09 17:00:52,Inactive,2025-01-14
99,Shahrah-e-Bahadurabad,Bahadurabad,Yellow,2025-01-26 15:05:36,Active,2025-01-11
100,Shahrah-e-Akhtar Colony,Akhtar Colony,Green,2025-01-17 00:04:19,Active,2025-01-01
